Date,Temperature,Humidity
2025-01-01,5.1,80
2025-01-02,4.9,82
2025-01-03,5.3,79
2025-01-04,6.0,78
2025-01-05,5.7,77
2025-01-06,5.4,76
2025-01-07,5.2,75
2025-01-08,5.0,74
2025-01-09,4.8,73
2025-01-10,4.9,74
2025-01-11,5.3,75
2025-01-12,6.1,76
2025-01-13,6.4,78
2025-01-14,6.8,79
2025-01-15,6.5,80
2025-01-16,6.3,81
2025-01-17,6.0,82
2025-01-18,5.8,83
2025-01-19,5.6,84
2025-01-20,5.7,85
2025-01-21,5.9,84
2025-01-22,6.2,83
2025-01-23,6.5,82
2025-01-24,6.7,81
2025-01-25,6.9,80
2025-01-26,7.0,79
2025-01-27,7.1,78
2025-01-28,7.3,77
2025-01-29,7.2,76
2025-01-30,7.0,75
2025-01-31,6.8,74
2025-02-01,6.5,73
2025-02-02,6.3,72
2025-02-03,6.1,71
2025-02-04,5.9,70
2025-02-05,5.6,69
2025-02-06,5.4,68
2025-02-07,5.2,67
2025-02-08,5.0,66
2025-02-09,4.8,65
2025-02-10,4.6,64
2025-02-11,4.5,63
2025-02-12,4.4,62
2025-02-13,4.6,61
2025-02-14,4.8,60
2025-02-15,5.0,61
2025-02-16,5.2,62
2025-02-17,5.4,63
2025-02-18,5.6,64
2025-02-19,5.8,65
2025-02-20,6.0,66
2025-02-21,6.3,67
2025-02-22,6.5,68
2025-02-23,6.7,69
2025-02-24,6.8,70
